-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (9334, 16, 250) Train Lable: (9334, 1)
Test Data: (424, 16, 250) Test Lable: (424, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 5091
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 4667
Number of 'non sick' samples: 5091
Maximum Value in Data Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.49851694407348757
Standard Daviation in Data Set: 0.0900935538688669
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 4667
Number of 'non sick' samples: 4667
Maximum Value in Training Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.49853657922037464
Standard Daviation in Data Set: 0.09050260277331118
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 0
Number of 'non sick' samples: 424
Maximum Value in Testing Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.49808469298612984
Standard Daviation in Data Set: 0.08056307610876341
epoch: 0, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.6931331157684326, valid accuracy: tensor(0., device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.5010, device='cuda:0'), loss: 0.6931270360946655, valid accuracy: tensor(0.4976, device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.5092, device='cuda:0'), loss: 0.6931214928627014, valid accuracy: tensor(0.7099, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.4906, device='cuda:0'), loss: 0.6932129859924316, valid accuracy: tensor(0.1627, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.5009, device='cuda:0'), loss: 0.6929269433021545, valid accuracy: tensor(0.0519, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.4984, device='cuda:0'), loss: 0.6932281255722046, valid accuracy: tensor(0.0024, device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.4961, device='cuda:0'), loss: 0.6932353973388672, valid accuracy: tensor(0.5024, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.4981, device='cuda:0'), loss: 0.6936460733413696, valid accuracy: tensor(0.9458, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.4926, device='cuda:0'), loss: 0.6932970881462097, valid accuracy: tensor(0.0731, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.4894, device='cuda:0'), loss: 0.6932259798049927, valid accuracy: tensor(0.7358, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.4904, device='cuda:0'), loss: 0.6931016445159912, valid accuracy: tensor(0.0047, device='cuda:0')
epoch: 11, lr: 0.01, accuracy: tensor(0.5006, device='cuda:0'), loss: 0.6932917237281799, valid accuracy: tensor(0.1627, device='cuda:0')
epoch: 12, lr: 0.01, accuracy: tensor(0.4989, device='cuda:0'), loss: 0.6932531595230103, valid accuracy: tensor(0.9906, device='cuda:0')
